The following document contains a list of academic programs in the Faculty of Arts and Sciences at Queen's University. Each entry in the educational programs section is presented in the format of 'Degree Name, Program Name', representing the various degree programs available. 

With them, you get a one-to-many relationship between degree name and program name. You can learn the names of all degrees and programs, and the correspondence between degrees and programs. 

Degree Names and Program Names:
Art History and Art Conservation , Computing and the Creative Arts - Specialization (Arts) – Bachelor of Arts (Honours)
Art History and Art Conservation , Art History – Major (Arts) – Bachelor of Arts (Honours)
Art History and Art Conservation , Art History – Joint Honours (Arts) – Bachelor of Arts (Honours)
Art History and Art Conservation , Art History – General (Arts) – Bachelor of Arts
Art History and Art Conservation , Art History – Minor (Arts)
Biochemistry , Biochemistry – Specialization (Science) – Bachelor of Science (Honours)
Biochemistry , Biochemistry – Major (Science) – Bachelor of Science (Honours)
Biochemistry , Biochemistry – General (Science) – Bachelor of Science
Biochemistry , Biochemistry – Minor (Science)
Biology , Biology and Mathematics – Specialization (Science) – Bachelor of Science (Honours)
Biology , Biology and Psychology – Specialization (Science) – Bachelor of Science (Honours)
Biology , Biotechnology – Specialization (Science) – Bachelor of Science (Honours)
Biology , Environmental Biology – Specialization (Science) – Bachelor of Science (Honours)
Biology , Biology – Major (Science) – Bachelor of Science (Honours)
Biology , Biology – General (Arts) – Bachelor of Arts
Biology , Biology – General (Science) – Bachelor of Science
Biology , Biology – Minor (Arts)
Biology , Biology – Minor (Science)
Chemistry , Chemistry – Specialization (Science) – Bachelor of Science (Honours)
Chemistry , Environmental Chemistry – Specialization (Science) – Bachelor of Science (Honours)
Chemistry , Chemistry – Major (Science) – Bachelor of Science (Honours)
Chemistry , Chemistry – General (Arts) – Bachelor of Arts
Chemistry , Chemistry– General (Science) – Bachelor of Science
Chemistry , Chemistry – Minor (Arts)
Chemistry , Chemistry – Minor (Science)
Classics and Archaeology , Classics and Archaeology – Specialization (Arts) – Bachelor of Arts (Honours)
Classics and Archaeology , Classics and Archaeology – Major (Arts) – Bachelor of Arts (Honours)
Classics and Archaeology , Greek – Major (Arts) – Bachelor of Arts (Honours)
Classics and Archaeology , Latin – Major (Arts) – Bachelor of Arts (Honours)
Classics and Archaeology , Classics and Archaeology – Joint Honours (Arts) – Bachelor of Arts (Honours)
Classics and Archaeology , Greek – Joint Honours (Arts) – Bachelor of Arts (Honours)
Classics and Archaeology , Latin – Joint Honours (Arts) – Bachelor of Arts (Honours)
Classics and Archaeology , Classics and Archaeology – General (Arts) – Bachelor of Arts
Classics and Archaeology , Classics and Archaeology – Minor (Arts)
Classics and Archaeology , Greek – General (Arts) – Bachelor of Arts
Classics and Archaeology , Greek – Minor (Arts)
Classics and Archaeology , Latin – General (Arts) – Bachelor of Arts
Classics and Archaeology , Latin – Minor (Arts)
Computing , Biomedical Computing – Specialization (Computing) – Bachelor of Computing (Honours)
Computing , Cognitive Science – Specialization (Computing) – Bachelor of Computing (Honours)
Computing , Computing and the Creative Arts - Specialization (Arts) – Bachelor of Arts (Honours)
Computing , Computing, Mathematics and Analytics – Specialization (Computing) – Bachelor of Computing (Honours)
Computing , Computer Science – Specialization (Computing) – Bachelor of Computing (Honours)
Computing , Software Design – Specialization (Computing) – Bachelor of Computing (Honours)
Computing , Computing – Major (Computing) – Bachelor of Computing (Honours)
Computing , Computing – General (Computing) – Bachelor of Computing
Computing , Computing – General (Arts) – Bachelor of Arts
Computing , Computing – Minor (Arts)
Computing , Computing - Minor (Science)
Computing , Data Analytics Certificate
Drama and Music , Computing and the Creative Arts – Specialization (Arts) – Bachelor of Arts (Honours)
Drama and Music , Media and Performance Production– Specialization (Arts) – Bachelor of Arts (Honours)
Drama and Music , Music – Specialization (Music) – Bachelor of Music
Drama and Music , Drama – Major (Arts) – Bachelor of Arts (Honours)
Drama and Music , Music – Major (Arts) – Bachelor of Arts (Honours)
Drama and Music , Drama – Joint Honours (Arts) – Bachelor of Arts (Honours)
Drama and Music , Music – Joint Honours (Arts) – Bachelor of Arts (Honours)
Drama and Music , Drama – General (Arts) – Bachelor of Arts
Drama and Music , Drama – Minor (Arts)
Drama and Music , Music – General (Arts) – Bachelor of Arts
Drama and Music , Music – Minor (Arts)
Drama and Music , Music Theatre – General (Music Theatre) – Bachelor of Music Theatre
Drama and Music , Entrepreneurship, Innovation and Creativity Certificate
Economics , Politics, Philosophy and Economics – Specialization (Arts) – Bachelor of Arts (Honours)
